state,state_name,status,assessment,school_year,notes,source_page_url
MA,Massachusetts,covered_exact_tiers,MCAS,2024-2025,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations. The page also reports the combined Meeting or Exceeding Expectations rate directly.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&
MI,Michigan,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
MN,Minnesota,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
MS,Mississippi,covered_exact_tiers,MAAP,2024-2025,Mississippi publishes exact statewide Grade 3 MAAP ELA performance-level percentages in the 2025 executive summary PDF.,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf
MO,Missouri,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
MT,Montana,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
NE,Nebraska,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
NV,Nevada,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
NH,New Hampshire,covered_official_proficiency_proxy,NH SAS,2024-2025,"New Hampshire's official iPlatform assessment report publishes the statewide 2025 Grade 3 NH SAS ELA proficiency rate. The public result used here exposes proficiency, not the full four-level statewide split. The below-basic analog remains a not-proficient proxy defined here as 100 - Percent Proficient.",https://my.doe.nh.gov/iPlatform/Report/DataReportsSubCategory?reportSubCategoryId=20
NJ,New Jersey,covered_exact_tiers,NJSLA,2024-2025,New Jersey publishes exact statewide Grade 3 NJSLA ELA performance-level percentages in the spring results workbook.,https://www.nj.gov/education/assessment/results/reports/2425/index.shtml
NM,New Mexico,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
NY,New York,covered_exact_tiers,Grades 3-8 ELA,2024-2025,NYSED Data Site's 2024-25 Report Card Database publishes All Public Schools statewide Grade 3 ELA counts and tested percentages for Levels 1 through 4 in the Annual EM ELA table.,https://data.nysed.gov/downloads.php
NC,North Carolina,covered_source_bins,NC EOG,2024-2025,"North Carolina's statewide Grade 3 reading row publishes Not Proficient plus Levels 3, 4, and 5. The Not Proficient bin aggregates Levels 1 and 2.",https://www.dpi.nc.gov/districts-schools/accountability-and-testing/school-accountability-and-reporting/accountability-data-sets-and-reports
ND,North Dakota,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
OH,Ohio,covered_official_proficiency_proxy,Ohio State Tests,2024-2025,"Ohio School Report Cards publishes a statewide Title 1 Proficiency by Grade workbook with the Grade 3 English Language Arts Percent Proficient or Above value. The companion Title 1 Proficiency Levels workbook is statewide by student group rather than by grade, so Ohio remains an official proficiency-only source here. The below-basic analog remains a not-proficient proxy defined here as 100 - Percent Proficient or Above.",https://reportcard.education.ohio.gov/download
OK,Oklahoma,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
OR,Oregon,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
PA,Pennsylvania,covered_exact_tiers,PSSA,2024-2025,"Pennsylvania's official assessment reporting page publishes statewide Grade 3 PSSA ELA percentages for Advanced, Proficient, Basic, and Below Basic directly in the public HTML table.",https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting
RI,Rhode Island,covered_exact_tiers,RICAS,2024-2025,Rhode Island's public Assessment Data Portal publishes statewide Grade 3 RICAS ELA performance-level percentages directly for All Students. The saved extract also reports 9850.0 students tested and an average scale score of 490.0.,https://www3.ride.ri.gov/ADP
SC,South Carolina,covered_exact_tiers,SC READY,2024-2025,South Carolina publishes exact statewide Grade 3 SC READY ELA performance-level percentages on the public state results page.,https://ed.sc.gov/data/test-scores/state-assessments/sc-ready/2025/state-scores-by-grade-level-and-demographic/?districtCode=9999&schoolCode=1001
SD,South Dakota,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
TN,Tennessee,covered_exact_tiers,TCAP,2024-2025,Tennessee publishes exact statewide Grade 3 TCAP ELA tier percentages in the state assessment file.,https://www.tn.gov/content/tn/education/districts/federal-programs-and-oversight/data/data-downloads.html
TX,Texas,covered_exact_tiers,STAAR,2023-2024,"Texas publishes cumulative threshold rates, so exact tiers are derived by subtraction from the statewide TAPR Grade 3 STAAR export.",https://rptsvr1.tea.texas.gov/perfreport/tapr/2024/Basic%20Download/DownloadSelData.html
UT,Utah,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2020-2021,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient. Utah is a 2020-2021 fallback because the 2021-2022 row is suppressed in the public federal release.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
VT,Vermont,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
VA,Virginia,covered_source_bins,SOL,2024-2025,"Virginia School Quality Profiles publishes statewide Grade 3 English Reading percentages for Advanced, Proficient, Passed, and Failed. Failed is used here as the below-basic analog because the public source does not split non-passing students into finer statewide tiers.",https://schoolquality.virginia.gov/virginia-state-quality-profile
WA,Washington,covered_exact_tiers,SBAC,2024-2025,"Washington publishes statewide Grade 3 SBAC ELA level shares as fractions of all expected students, so the exact tier percentages here are renormalized on a tested-only denominator.",https://data.wa.gov/api/views/h5d9-vgwi
WV,West Virginia,covered_official_proficiency_proxy,WVGSA,2023-2024,"West Virginia's public statewide Grade 3 ELA materials expose proficiency but not the full statewide performance-level split, so the below-basic analog is filled as 100 - Meets Standard or above.",https://wvde.us/events/2024/8/august-2024-board-meeting
WI,Wisconsin,covered_exact_tiers,Forward Exam,2024-2025,"Wisconsin publishes statewide Grade 3 Forward ELA percentages on a denominator that includes No Test, so the exact tier percentages here are renormalized on a tested-only denominator.",https://dpi.wi.gov/wise-downloads/forwardcertified2024-25
WY,Wyoming,covered_federal_proficiency_proxy,Statewide RLA Assessment (Ed Data Express),2021-2022,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
