state,state_name,assessment,subject,grade,school_year,administration_year,below_basic_analog_label,below_basic_analog_pct,official_statewide_grade3_ela_advanced_or_proficient_pct,official_enrollment,official_statewide_grade3_ela_participation_rate,source_notes,source_url,source_page_url,official_statewide_grade3_ela_level3_or_4_pct,official_statewide_grade3_ela_standard_met_or_exceeded_pct,official_with_scores,official_statewide_grade3_ela_met_or_exceeded_pct,official_total_students,official_valid_test_takers,official_number_scored,official_statewide_grade3_ela_level2_or_above_pct,official_statewide_grade3_ela_level3_or_above_pct,official_statewide_grade3_ela_level4_or_5_pct,official_statewide_grade3_ela_met_achievement_standard_pct,official_statewide_grade3_ela_proficient_or_distinguished_pct,official_statewide_grade3_ela_at_or_above_proficiency_pct,official_statewide_grade3_reading_proficient_or_distinguished_pct,official_statewide_grade3_ela_mastery_or_advanced_pct,official_statewide_grade3_ela_proficient_pct,official_statewide_grade3_ela_proficient_or_advanced_pct,official_not_tested,official_statewide_grade3_ela_percent_proficient_pct,official_statewide_grade3_reading_grade_level_proficient_pct,official_statewide_grade3_ela_percent_proficient_or_above_pct,official_statewide_grade3_ela_meets_or_exceeds_pct,official_statewide_grade3_rla_approaches_or_above_pct,official_statewide_grade3_rla_meets_or_above_pct,official_statewide_grade3_rla_masters_pct,official_statewide_grade3_reading_advanced_pct,official_statewide_grade3_reading_proficient_pct,official_statewide_grade3_reading_passed_pct,official_statewide_grade3_ela_level3_or_4_tested_only_pct,official_statewide_grade3_ela_meets_standard_or_above_pct,official_statewide_grade3_ela_meeting_or_advanced_tested_only_pct
GA,Georgia,Georgia Milestones,ELA,03,2024-2025,2025,Beginning Learner,36.902085920430075,,,,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/,,,,,,,,,,,,34.919911344451954,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,51.6,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AHAWAII,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,13235.0,,,,,,,,,,,,,48.4,,,,,,,,,,,,
IA,Iowa,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,35.8,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AIOWA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,35205.0,,,,,,,,,,,,,64.2,,,,,,,,,,,,
ID,Idaho,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,50.8,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AIDAHO,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,23225.0,,,,,,,,,,,,,49.2,,,,,,,,,,,,
IL,Illinois,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,72.7,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AILLINOIS,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,125590.0,,,,,,,,,,,,,27.3,,,,,,,,,,,,
IN,Indiana,ILEARN,ELA,03,2024-2025,2025,Below Proficiency,39.18,,,,Indiana publishes statewide Grade 3 ILEARN counts by performance level in the statewide summary workbook.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/,,,,,,,,,,,,,40.26,,,,,,,,,,,,,,,,,,
KS,Kansas,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,62.0,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AKANSAS,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,31352.0,,,,,,,,,,,,,38.0,,,,,,,,,,,,
KY,Kentucky,KSA,ELA,03,2023-2024,2024,Novice,24.8,,,,Kentucky publishes exact Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx,,,,,,,,,,,,,,46.9,,,,,,,,,,,,,,,,,
LA,Louisiana,LEAP,ELA,03,2024-2025,2025,Unsatisfactory,17.0,,,,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,
MA,Massachusetts,MCAS,ELA,03,2024-2025,2025,Not Meeting Expectations,19.0,,,,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations. The page also reports the combined Meeting or Exceeding Expectations rate directly.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,,,,42.0,,66312.0,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Maryland,MCAP,ELA,03,2024-2025,2025,PL 1,7.3,,,,Maryland Report Card's public 2025 MCAP English Language Arts endpoint publishes the statewide Grade 3 All Students performance-level percentages directly.,https://reportcard.msde.maryland.gov/Assessments/GetELAPerformanceBarChart,https://reportcard.msde.maryland.gov/Graphs/#/Assessments/ELAPerformance,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,
ME,Maine,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,17.3,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AMAINE,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,11586.0,,,,,,,,,,,,,82.7,,,,,,,,,,,,
MI,Michigan,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,58.2,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AMICHIGAN,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,98374.0,,,,,,,,,,,,,41.8,,,,,,,,,,,,
MN,Minnesota,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,51.9,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AMINNESOTA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,60695.0,,,,,,,,,,,,,48.1,,,,,,,,,,,,
MO,Missouri,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,58.6,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AMISSOURI,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,63641.0,,,,,,,,,,,,,41.4,,,,,,,,,,,,
MS,Mississippi,MAAP,ELA,03,2024-2025,2025,Minimal,10.7,,,,Mississippi publishes exact statewide Grade 3 MAAP ELA performance-level percentages in the 2025 executive summary PDF.,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf,,,,,,,,,,,,,,,,,49.3,,,,,,,,,,,,,,
MT,Montana,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,55.8,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AMONTANA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,11095.0,,,,,,,,,,,,,44.2,,,,,,,,,,,,
NC,North Carolina,NC EOG,ELA,03,2024-2025,2025,Not Proficient,53.4,,,,"North Carolina's statewide Grade 3 reading row publishes Not Proficient plus Levels 3, 4, and 5. The Not Proficient bin aggregates Levels 1 and 2.",https://www.dpi.nc.gov/2024-25-school-assessment-and-other-indicator-data-0/download?attachment,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/school-accountability-and-reporting/accountability-data-sets-and-reports,,,,,,,,,,,,,,,,,,,,46.6,,,,,,,,,,,
ND,North Dakota,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,61.5,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3ANORTH+DAKOTA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,8756.0,,,,,,,,,,,,,38.5,,,,,,,,,,,,
NE,Nebraska,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,50.0,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3ANEBRASKA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,23036.0,,,,,,,,,,,,,50.0,,,,,,,,,,,,
NH,New Hampshire,NH SAS,ELA,03,2024-2025,2025,100 - Percent Proficient,51.0,,,,"New Hampshire's official iPlatform assessment report publishes the statewide 2025 Grade 3 NH SAS ELA proficiency rate. The public result used here exposes proficiency, not the full four-level statewide split. The below-basic analog remains a not-proficient proxy defined here as 100 - Percent Proficient.",https://my.doe.nh.gov/iPlatform/Report/DataReportsSubCategory?reportSubCategoryId=20,https://my.doe.nh.gov/iPlatform/Report/DataReportsSubCategory?reportSubCategoryId=20,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,
NJ,New Jersey,NJSLA,ELA,03,2024-2025,2025,Level 1,19.0,,,,New Jersey publishes exact statewide Grade 3 NJSLA ELA performance-level percentages in the spring results workbook.,https://www.nj.gov/education/assessment/results/reports/2425/spring/ELA03%20NJSLA%20DATA%202024-25.xlsx,https://www.nj.gov/education/assessment/results/reports/2425/index.shtml,,,,,,,,,,44.9,,,,,,,,,,,,,,,,,,,,,
NM,New Mexico,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,68.2,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3ANEW+MEXICO,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,21599.0,,,,,,,,,,,,,31.8,,,,,,,,,,,,
NV,Nevada,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,59.1,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3ANEVADA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,34778.0,,,,,,,,,,,,,40.9,,,,,,,,,,,,
NY,New York,Grades 3-8 ELA,ELA,03,2024-2025,2025,Level 1,20.0,,,,NYSED Data Site's 2024-25 Report Card Database publishes All Public Schools statewide Grade 3 ELA counts and tested percentages for Levels 1 through 4 in the Annual EM ELA table.,https://data.nysed.gov/files/essa/24-25/SRC2025.zip,https://data.nysed.gov/downloads.php,54.0,,,,185763.0,161336.0,,,,,,,,,,,,24427.0,,,,,,,,,,,,,
OH,Ohio,Ohio State Tests,ELA,03,2024-2025,2025,100 - Percent Proficient or Above,38.7,,,,"Ohio School Report Cards publishes a statewide Title 1 Proficiency by Grade workbook with the Grade 3 English Language Arts Percent Proficient or Above value. The companion Title 1 Proficiency Levels workbook is statewide by student group rather than by grade, so Ohio remains an official proficiency-only source here. The below-basic analog remains a not-proficient proxy defined here as 100 - Percent Proficient or Above.",https://edu-prd-reportcard-datarefresh-api.azurewebsites.net/api/v2/CategoriesFileTypes/2025/0/0,https://reportcard.education.ohio.gov/download,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,
OK,Oklahoma,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,71.2,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AOKLAHOMA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,50617.0,,,,,,,,,,,,,28.8,,,,,,,,,,,,
