state,state_name,assessment,subject,grade,school_year,administration_year,source_bin_structure,source_bin_1_label,source_bin_1_pct,source_bin_2_label,source_bin_2_pct,source_bin_3_label,source_bin_3_pct,source_bin_4_label,source_bin_4_pct,source_bin_5_label,source_bin_5_pct,notes,source_url,source_page_url
HI,Hawaii,Smarter Balanced,ELA,03,2024-2025,2025,published_proficiency_only,Met or Exceeded Achievement Standard,49.9,,,,,,,,,"Hawaii's official 2024-25 Smarter Balanced statewide workbook reports 49.9% of Grade 3 ELA students met or exceeded the achievement standard, but the state row used here does not publish the full performance-level split.",https://hawaiipublicschools.org/wp-content/uploads/SBA2024-25.xlsx,https://hawaiipublicschools.org/academics/types-of-testing/
IA,Iowa,ISASP,ELA,03,2024-2025,2025,published_proficiency_only,Proficient,68.0,,,,,,,,,Iowa's official 2025 statewide assessment results report Grade 3 ELA proficiency at 68%. The public statewide summary used here does not expose the full performance-level split.,https://educate.iowa.gov/media/11696/download?inline=,https://educate.iowa.gov/press-release/2025-08-20/iowa-achieves-impressive-gains-early-literacy-science-new-2025-spring-statewide-student-assessment
ID,Idaho,ISAT,ELA,03,2023-2024,2024,published_exact_tiers,Level 1,29.0,Level 2,23.0,Level 3,22.0,Level 4,25.0,,,Idaho's official 2023-24 ISAT technical report publishes statewide Grade 3 ELA percentages for Levels 1 through 4. This one-year-older state result replaces the older federal proficiency proxy; published level percentages sum to 99% because of rounding.,https://www.sde.idaho.gov/assessment/isat-cas/files/general/SY2023-24-Idaho-SB-Tech-Report.pdf,https://www.sde.idaho.gov/about-us/departments/assessment-accountability/idaho-standards-achievement-test-isat/
IL,Illinois,IAR,ELA,03,2024-2025,2025,published_proficiency_only,Proficient,47.3,,,,,,,,,Illinois's official 2025 Report Card public dataset reports statewide Grade 3 IAR ELA proficiency at 47.3%. The statewide row used here does not expose the full performance-level split.,https://www.isbe.net/Documents/2025-Report-Card-Public-Data-Set.xlsx,https://www.isbe.net/Pages/Illinois-State-Report-Card-Data.aspx
IN,Indiana,ILEARN,ELA,03,2024-2025,2025,published_counts_by_exact_tier,Below Proficiency,39.18,Approaching Proficiency,20.56,At Proficiency,23.26,Above Proficiency,17.0,,,Indiana publishes statewide counts for each Grade 3 ILEARN performance level; percentages here are derived from those counts.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
KS,Kansas,Kansas State Assessment,ELA,03,2024-2025,2025,published_exact_tiers,Level 1,27.2,Level 2,20.9,Level 3,39.2,Level 4,12.7,,,Kansas's official 2024-25 annual report publishes statewide Grade 3 ELA percentages for Kansas State Assessment Levels 1 through 4.,https://www.ksde.gov/docs/default-source/crp/ar-2024-25-coherence.pdf?sfvrsn=42d42afb_3,https://www.ksde.gov/Home/Quick-Links/News-Room/Annual-Reports
KY,Kentucky,KSA,ELA,03,2023-2024,2024,published_exact_tiers,Novice,24.8,Apprentice,28.3,Proficient,28.8,Distinguished,18.1,,,Kentucky publishes exact statewide Grade 3 Reading performance tiers directly in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
LA,Louisiana,LEAP,ELA,03,2024-2025,2025,published_exact_tiers,Unsatisfactory,17.0,Approaching Basic,18.0,Basic,22.0,Mastery,36.0,Advanced,7.0,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement levels directly.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
MA,Massachusetts,MCAS,ELA,03,2024-2025,2025,published_exact_tiers,Not Meeting Expectations,19.0,Partially Meeting Expectations,39.0,Meeting Expectations,37.0,Exceeding Expectations,6.0,Meeting or Exceeding Expectations,42.0,"These are Massachusetts's original published statewide Grade 3 MCAS ELA source bins, plus the page's combined Meeting or Exceeding Expectations percentage.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&
MD,Maryland,MCAP,ELA,03,2024-2025,2025,published_exact_tiers,PL 1,7.3,PL 2,42.7,PL 3,44.1,PL 4,6.0,PL 3/4,50.0,"These are Maryland's published statewide 2025 Grade 3 MCAP ELA source bins, plus the combined PL 3/4 proficient share.",https://reportcard.msde.maryland.gov/Assessments/GetELAPerformanceBarChart,https://reportcard.msde.maryland.gov/Graphs/#/Assessments/ELAPerformance
ME,Maine,Maine Through Year Assessment,ELA,03,2024-2025,2025,published_exact_tiers,Well Below State Expectations,12.6,Below State Expectations,27.1,At State Expectations,47.3,Above State Expectations,13.0,,,"Maine's official Spring 2025 technical report, Table 8.2, publishes statewide Grade 3 Reading percentages for all four achievement levels.",https://www.maine.gov/doe/sites/maine.gov.doe/files/inline-files/Assessment%20-%20Maine%20Through%20Year%20Assessment%20Spring%2025%20Technical%20Report%20-%203.31.2026.pdf,https://www.maine.gov/doe/Testing_Accountability/MECAS/math_ELA_Literacy
MI,Michigan,M-STEP,ELA,03,2024-2025,2025,published_source_bins,Not Proficient,36.5,Partially Proficient,24.6,Proficient or Advanced,38.9,,,,,Michigan's official 2025 release reports 38.9% Proficient or Advanced and 24.6% Partially Proficient for Grade 3 M-STEP ELA. Not Proficient is the remaining 36.5%; the state release combines the two upper tiers.,https://www.michigan.gov/mde/news-and-information/press-releases/2025/08/27/michigan-students-perform-better-on-most-tests,https://www.michigan.gov/mde/news-and-information/press-releases/2025/08/27/michigan-students-perform-better-on-most-tests
MN,Minnesota,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,federal_proficiency_only_proxy,Percent Proficient,48.1,,,,,,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AMINNESOTA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
MO,Missouri,MAP,ELA,03,2024-2025,2025,published_exact_tiers,Below Basic,18.0,Basic,23.0,Proficient,28.0,Advanced,31.0,,,"Missouri's official preliminary 2024-25 MAP results publish statewide Grade 3 ELA percentages for Below Basic, Basic, Proficient, and Advanced.",https://dese.mo.gov/sites/g/files/zuston521/files/media/pdf/2025/08/2024-25%20Preliminary%20MAP%20Results%2008.22.2025.pdf,https://dese.mo.gov/media/pdf/report-2024-25-preliminary-academic-performance
MS,Mississippi,MAAP,ELA,03,2024-2025,2025,published_exact_tiers,Minimal,10.7,Basic,13.7,Pass,26.3,Proficient,35.5,Advanced,13.9,Mississippi publishes exact statewide Grade 3 MAAP ELA performance levels directly in the executive summary PDF.,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf
MT,Montana,MAST,ELA,03,2024-2025,2025,published_exact_tiers,Novice,32.8,Partially Proficient,31.3,Proficient,28.8,Advanced,7.2,,,Montana's official 2024-25 MAST technical report publishes statewide Grade 3 ELA counts and percentages for Novice through Advanced. Published percentages sum to 100.1% because of rounding.,https://opi.mt.gov/Portals/182/Page%20Files/Statewide%20Testing/MAST/MAST%202024-2025%20Technical%20Report.pdf?ver=2025-12-19-121316-830,https://opi.mt.gov/Leadership/Assessment-Accountability/MontCAS/Assessment-Data-Release
NC,North Carolina,NC EOG,ELA,03,2024-2025,2025,published_bins_levels_1_2_aggregated,Not Proficient (Levels 1 and 2 combined),53.4,Level 3,21.6,Level 4,14.8,Level 5,10.2,,,"North Carolina's public statewide Grade 3 reading row aggregates Levels 1 and 2 into Not Proficient, so this is the closest public source-bin view available here.",https://www.dpi.nc.gov/2024-25-school-assessment-and-other-indicator-data-0/download?attachment,https://www.dpi.nc.gov/districts-schools/accountability-and-testing/school-accountability-and-reporting/accountability-data-sets-and-reports
ND,North Dakota,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,federal_proficiency_only_proxy,Percent Proficient,38.5,,,,,,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3ANORTH+DAKOTA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
NE,Nebraska,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,federal_proficiency_only_proxy,Percent Proficient,50.0,,,,,,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3ANEBRASKA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
NH,New Hampshire,NH SAS,ELA,03,2024-2025,2025,published_proficiency_only,Percent Proficient,49.0,,,,,,,,,"New Hampshire's official iPlatform assessment report publishes the statewide 2025 Grade 3 NH SAS ELA proficiency rate. The public result used here exposes proficiency, not the full four-level statewide split.",https://my.doe.nh.gov/iPlatform/Report/DataReportsSubCategory?reportSubCategoryId=20,https://my.doe.nh.gov/iPlatform/Report/DataReportsSubCategory?reportSubCategoryId=20
NJ,New Jersey,NJSLA,ELA,03,2024-2025,2025,published_exact_tiers,Level 1,19.0,Level 2,16.0,Level 3,20.1,Level 4,37.0,Level 5,7.9,New Jersey publishes exact statewide Grade 3 NJSLA ELA performance tiers directly in the spring workbook.,https://www.nj.gov/education/assessment/results/reports/2425/spring/ELA03%20NJSLA%20DATA%202024-25.xlsx,https://www.nj.gov/education/assessment/results/reports/2425/index.shtml
NM,New Mexico,NM-MSSA,ELA,03,2024-2025,2025,published_proficiency_only,Proficient,41.0,,,,,,,,,New Mexico PED's official 2025 assessment presentation reports Grade 3 literacy proficiency at 41%. The Grade 3 public result used here does not expose the full NM-MSSA performance-level split.,https://web.ped.nm.gov/wp-content/uploads/2025/10/PED-Assessment-Presentation-for-LESC_101525.pdf,https://web.ped.nm.gov/bureaus/accountability/achievement-data-by-year/
NV,Nevada,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,federal_proficiency_only_proxy,Percent Proficient,40.9,,,,,,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3ANEVADA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
NY,New York,Grades 3-8 ELA,ELA,03,2024-2025,2025,published_exact_tiers,Level 1,20.0,Level 2,26.0,Level 3,33.0,Level 4,22.0,Level 3 or 4,54.0,"These are New York's published All Public Schools statewide Grade 3 ELA source bins from the 2024-25 Report Card Database, using tested-student percentages.",https://data.nysed.gov/files/essa/24-25/SRC2025.zip,https://data.nysed.gov/downloads.php
OH,Ohio,Ohio State Tests,ELA,03,2024-2025,2025,published_proficiency_only,Percent Proficient or Above,61.3,,,,,,,,,"Ohio School Report Cards publishes a statewide Title 1 Proficiency by Grade workbook with the Grade 3 English Language Arts Percent Proficient or Above value. The companion Title 1 Proficiency Levels workbook is statewide by student group rather than by grade, so Ohio remains an official proficiency-only source here.",https://edu-prd-reportcard-datarefresh-api.azurewebsites.net/api/v2/CategoriesFileTypes/2025/0/0,https://reportcard.education.ohio.gov/download
OK,Oklahoma,OSTP,ELA,03,2024-2025,2025,published_exact_tiers,Below Basic,43.0,Basic,30.0,Proficient,24.0,Advanced,3.0,,,Oklahoma's official 2024-25 OSTP public CSV reports statewide Grade 3 ELA counts and percentages for Below Basic through Advanced.,https://oklahoma.gov/content/dam/ok/en/osde/documents/services/assessments/state-testing-resources/2025-state-testing-resources/2425OKOSTPMediaRedacted.csv,https://oklahoma.gov/education/services/assessments/state-testing-resources.html
OR,Oregon,OSAS,ELA,03,2024-2025,2025,published_exact_tiers,Level 1,35.9,Level 2,23.9,Level 3,19.6,Level 4,20.7,,,Oregon's official 2024-25 statewide ELA workbook reports Grade 3 OSAS counts and percentages for Levels 1 through 4. Published percentages sum to 100.1% because of rounding.,https://www.oregon.gov/ode/educator-resources/assessment/Documents/TestResults2425/pagr_State_ELA_2425.xlsx,https://www.oregon.gov/ode/educator-resources/assessment/pages/assessment-group-reports.aspx
PA,Pennsylvania,PSSA,ELA,03,2024-2025,2025,published_exact_tiers,Below Basic,20.3,Basic,31.1,Proficient,38.1,Advanced,10.5,Proficient and above,48.6,"Pennsylvania's public assessment reporting page publishes the statewide Grade 3 PSSA ELA row directly, including the four achievement levels and the combined Proficient and above rate.",https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting,https://www.pa.gov/agencies/education/data-and-reporting/assessment-reporting
RI,Rhode Island,RICAS,ELA,03,2024-2025,2025,published_exact_tiers,Not Meeting Expectations,21.5,Partially Meeting Expectations,41.8,Meeting Expectations,31.8,Exceeding Expectations,4.9,Meeting or Exceeding Expectations,36.7,"These are Rhode Island's published statewide 2024-25 Grade 3 RICAS ELA source bins, plus the portal's combined Meeting or Exceeding Expectations percentage.",https://www3.ride.ri.gov/ADP/Default/_Data?assessment=5&lea=00&sch=&grade=03&supergroup=0&schYear=2024-25&compareWith=&ADA=false&Growth=false&Performance=false,https://www3.ride.ri.gov/ADP
SC,South Carolina,SC READY,ELA,03,2024-2025,2025,published_exact_tiers,Does Not Meet Expectations,14.4,Approaches Expectations,23.8,Meets Expectations,30.8,Exceeds Expectations,31.0,,,South Carolina publishes exact statewide Grade 3 SC READY ELA performance tiers directly on the state results page.,https://ed.sc.gov/data/test-scores/state-assessments/sc-ready/2025/state-scores-by-grade-level-and-demographic/?districtCode=9999&schoolCode=1001,https://ed.sc.gov/data/test-scores/state-assessments/sc-ready/2025/state-scores-by-grade-level-and-demographic/?districtCode=9999&schoolCode=1001
SD,South Dakota,South Dakota Assessment,ELA,03,2024-2025,2025,published_exact_tiers,Level 1,30.0,Level 2,26.0,Level 3,23.0,Level 4,22.0,,,"South Dakota's official 2024-25 ELA and mathematics technical report, Table 23, publishes statewide Grade 3 ELA percentages for Levels 1 through 4. Published percentages sum to 101% because of rounding.",https://doe.sd.gov/Assessment/documents/SY25-SBTech.pdf,https://doe.sd.gov/Assessment/SD-assessments.aspx
TN,Tennessee,TCAP,ELA,03,2024-2025,2025,published_exact_tiers,Below,22.9,Approaching,35.5,Met Expectations,27.4,Exceeded Expectations,14.2,,,Tennessee publishes exact statewide Grade 3 TCAP ELA performance tiers directly.,https://www.tn.gov/content/dam/tn/education/accountability/2025/state_assessment_file_suppressed_2025.xlsx,https://www.tn.gov/content/tn/education/districts/federal-programs-and-oversight/data/data-downloads.html
TX,Texas,STAAR,ELA,03,2023-2024,2024,published_cumulative_thresholds,Approaches Grade Level or above,74.0,Meets Grade Level or above,48.0,Masters Grade Level,21.0,,,,,Texas publishes cumulative thresholds rather than exact tiers; these are the original statewide source bins.,https://rptsvr1.tea.texas.gov/cgi/sas/broker?_service=marykay&year4=2024&year2=&prgopt=2024/tapr/Basic%20Download/xplore/getdata2.sas&_program=perfrept.perfmast.sas&_debug=0&step=1&steps=2&sumlev=S&dsname=SSTAAR_GR3,https://rptsvr1.tea.texas.gov/perfreport/tapr/2024/Basic%20Download/DownloadSelData.html
UT,Utah,Statewide RLA Assessment (Ed Data Express),ELA,03,2020-2021,2021,federal_proficiency_only_proxy,Percent Proficient,42.3,,,,,,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient. Utah is a 2020-2021 fallback because the 2021-2022 row is suppressed in the public federal release.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2020-2021&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AUTAH,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
VA,Virginia,SOL,ELA,03,2024-2025,2025,published_pass_rate_breakout,Advanced,10.0,Proficient,57.0,Passed,67.0,Failed,33.0,,,"Virginia's public state profile publishes the statewide Grade 3 English Reading row with Advanced, Proficient, Passed, and Failed columns.",https://schoolquality.virginia.gov/virginia-state-quality-profile,https://schoolquality.virginia.gov/virginia-state-quality-profile
VT,Vermont,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,federal_proficiency_only_proxy,Percent Proficient,41.3,,,,,,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AVERMONT,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
WA,Washington,SBAC,ELA,03,2024-2025,2025,published_levels_plus_no_score,Level 1,27.64,Level 2,22.18,Level 3,20.64,Level 4,27.12,No Score,2.42,"These are Washington's original published statewide Grade 3 SBAC ELA source bins, reported as shares of all expected students.",https://data.wa.gov/api/views/h5d9-vgwi/rows.csv?accessType=DOWNLOAD,https://data.wa.gov/api/views/h5d9-vgwi
WI,Wisconsin,Forward Exam,ELA,03,2024-2025,2025,published_bins_with_no_test_in_denominator,Developing,17.47,Approaching,29.49,Meeting,38.15,Advanced,13.01,No Test,1.89,These are Wisconsin's original published statewide Grade 3 Forward ELA source bins before tested-only renormalization.,https://dpi.wi.gov/sites/default/files/wise/downloads/forward_certified_2024-25.zip,https://dpi.wi.gov/wise-downloads/forwardcertified2024-25
WV,West Virginia,WVGSA,ELA,03,2023-2024,2024,published_proficiency_only,Meets Standard or above (proficient),51.0,,,,,,,,,"The public WVDE 2024 assessment PDF reports statewide Grade 3 ELA proficiency at 51%. The public sources used here did not expose the full statewide split across Does Not Meet, Partially Meets, Meets, and Exceeds without an authenticated dashboard session.",https://wvde.us/sites/default/files/2024-09/2024-Accountability-Assessment-Results-Document.pdf,https://wvde.us/events/2024/8/august-2024-board-meeting
WY,Wyoming,WY-TOPP,ELA,03,2023-2024,2024,published_proficiency_only,Proficient,48.0,,,,,,,,,Wyoming's official statewide assessment guidance reports Grade 3 ELA proficiency at 48%. This 2023-24 state result replaces the older federal proxy; the public reference used here does not expose the full WY-TOPP performance-level split.,https://edu.wyoming.gov/wp-content/uploads/2024/02/How-to-Use-Statewide-Summative-Assessment-Data-Public.pdf,https://edu.wyoming.gov/data/assessment-reports/
